azonosító	vezetéknév	utónév	település	utca	házszám	vegetáriánus
1	Gál	Levente	Kisfalu	József utca	17	0
2	Hegedüs	Barnabás	Kisfalu	Feketerigó utca	28	0
3	Németh	Balázs	Alsóváros	Naspolya utca	24	0
4	Németh	Sára	Nagyfalu	Harangöntő utca	33	1
5	Takács	Milla	Felsőváros	Kassák Lajos utca	33	0
6	Kovács	Benett	Felsőváros	Nagypostavölgyi út	35	0
7	Nagy	Dávid	Alsóváros	Munkád út	16	0
8	Fekete	Olivér	Felsőváros	Hamvas utca	18/A	1
9	Németh	Milán	Alsóváros	Flórián utca	48	0
10	Fábián	Kamilla	Nagyfalu	Szántó Kovács János utca	9	0
11	Vörös	Denisz	Kisfalu	Hőgyes Endre utca	54	0
12	Nagy	Denisz	Alsóváros	Kőbánya dűlő	44	0
13	Németh	Noé	Alsóváros	Bokály dűlő	24	0
14	Budai	Zoltán	Felsőváros	Rakéta utca	36	0
15	Nagy	Ferenc	Felsőváros	Mókus utca	58	0
16	Lakatos	Hanna	Felsőváros	Tüke utca	9	0
17	Horváth	Ádám	Kisfalu	Keszeg sor	52	1
18	Fehér	Péter	Felsőváros	Kassák Lajos utca	59	0
19	Molnár	Boglárka	Alsóváros	Bokály dűlő	30	0
20	Nagy	Donát	Nagyfalu	Thököly út	44	0
21	Farkas	Noé	Alsóváros	Kőbánya dűlő	56	0
22	Csonka	Dalma	Alsóváros	Kőbánya dűlő	55	1
23	Nagy	Boglárka	Nagyfalu	Támfa köz	66	0
24	Sipos	Vilmos	Kisfalu	Forbát Alfréd utca	58/C	0
25	Kocsis	Hanna	Nagyfalu	Zsinkó István utca	64	0
26	Kocsis	Dorottya	Alsóváros	Opris Péter tér	31	0
27	Nagy	Norbert	Alsóváros	Jászai Mari utca	62	0
28	Orbán	János	Alsóváros	Sport utca	4	0
29	Molnár	Norbert	Felsőváros	Eperfás út	59	0
30	Simon	Ádám	Felsőváros	Kishegyi dűlő	36	1
31	Horváth	Soma	Alsóváros	Bokály dűlő	40	0
32	Balogh	Adél	Alsóváros	Pellérdi út	21	0
33	Lakatos	Vencel	Kisfalu	Fazekas Mihály utca	27	0
34	Orosz	Zalán	Kisfalu	Turini utca	17	0
35	Balogh	Hunor	Nagyfalu	Stiglicfogdosó	32	0
36	Nagy	Lara	Nagyfalu	Pelikán dűlő	43	1
37	Lakatos	Kristóf	Felsőváros	Vajda János utca	62	0
38	Somogyi	Boglárka	Felsőváros	Verseny utca	33	0
39	Varga	Vilmos	Alsóváros	Pellérdi út	42	0
40	Kiss	Mátyás	Nagyfalu	Örs utca	33	0
41	Rácz	Attila	Nagyfalu	Szántó Kovács János utca	16	0
42	Horváth	Zsófia	Nagyfalu	Csorba Győző utca	45	0
43	Török	Bella	Alsóváros	Ybl Miklós utca	61	0
44	Kiss	Marcell	Kisfalu	Zerge utca	28	0
45	Rácz	Natália	Felsőváros	Éger köz	36	0
46	Juhász	Natasa	Felsőváros	Vajda János utca	61	0
47	Oláh	Márk	Kisfalu	József utca	40	0
48	Tóth	Letícia	Nagyfalu	Örs utca	31	0
49	Kovács	Benedek	Kisfalu	Csillag utca	57	0
50	Hegedüs	Noel	Nagyfalu	Kút utca	43	0
51	Balog	Lilien	Kisfalu	József utca	17	0
52	Szabó	Noel	Felsőváros	Mókus utca	22	0
53	Barna	Panna	Alsóváros	Mátyás Flórián tér	23	0
54	Balog	Noel	Felsőváros	Verseny utca	57	0
55	Papp	Dorina	Nagyfalu	Stiglicfogdosó	38	1
56	Vass	Zita	Felsőváros	Hordós dűlő	60	0
57	Varga	Eszter	Nagyfalu	Thököly út	48	0
58	Molnár	Fanni	Kisfalu	Lívia utca	66	0
59	Kovács	Nimród	Felsőváros	Hordós dűlő	4	0
